=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.03 14:45:19 =~=~=~=~=~=~=~=~=~=~=~=;;;;;;;
Tempo;DHT22;LM35;Termopar_K;DS18B20;Setpoint;Erro;Acao controle
0.00;24.10°C;0.00°C;25.50°C;24.9°C;50°C;0.00;0
0.60;24.10°C;24.10°C;25.25°C;24.9°C;50°C;25.90;255
1.50;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
2.10;24.10°C;24.10°C;25.75°C;24.9°C;50°C;25.90;255
2.70;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
3.60;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
4.20;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
4.80;24.10°C;24.10°C;26.00°C;24.9°C;50°C;25.90;255
5.70;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
6.30;24.10°C;24.10°C;25.75°C;24.9°C;50°C;25.90;255
6.90;24.10°C;24.10°C;25.75°C;24.9°C;50°C;25.90;255
7.80;24.10°C;24.10°C;25.75°C;24.9°C;50°C;25.90;255
8.40;24.10°C;24.10°C;25.25°C;24.9°C;50°C;25.90;255
9.00;24.10°C;24.10°C;25.75°C;24.9°C;50°C;25.90;255
9.90;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
10.50;24.10°C;24.10°C;25.50°C;24.9°C;50°C;25.90;255
11.10;24.10°C;24.10°C;25.25°C;24.9°C;50°C;25.90;255
12.00;24.10°C;24.10°C;25.25°C;24.9°C;50°C;25.90;255
12.60;24.10°C;24.10°C;26.00°C;25.0°C;50°C;25.90;255
13.20;24.10°C;24.10°C;25.75°C;25.0°C;50°C;25.90;255
14.10;24.40°C;24.10°C;25.25°C;25.1°C;50°C;25.90;255
14.70;24.40°C;24.15°C;25.75°C;25.2°C;50°C;25.85;255
15.30;24.90°C;24.21°C;25.50°C;25.3°C;50°C;25.79;255
16.20;24.90°C;24.43°C;25.25°C;25.4°C;50°C;25.57;255
16.80;25.30°C;24.57°C;25.25°C;25.6°C;50°C;25.43;255
17.40;25.30°C;24.79°C;25.75°C;25.7°C;50°C;25.21;255
18.30;25.60°C;25.04°C;26.00°C;25.8°C;50°C;24.96;255
18.90;25.60°C;25.21°C;25.50°C;25.9°C;50°C;24.79;255
19.50;25.90°C;25.34°C;25.50°C;26.1°C;50°C;24.66;255
20.40;25.90°C;25.57°C;25.75°C;26.2°C;50°C;24.43;255
21.00;26.20°C;25.68°C;25.75°C;26.3°C;50°C;24.32;255
21.60;26.20°C;25.85°C;26.25°C;26.4°C;50°C;24.15;255
21.90;26.20°C;25.90°C;25.75°C;26.5°C;50°C;24.10;255
22.20;26.40°C;25.97°C;26.00°C;26.6°C;50°C;24.03;255
22.50;26.40°C;26.05°C;25.75°C;26.7°C;50°C;23.95;255
22.80;26.40°C;26.12°C;26.25°C;26.7°C;50°C;23.88;255
23.10;26.40°C;26.16°C;25.75°C;26.9°C;50°C;23.84;255
23.40;26.80°C;26.25°C;26.00°C;27.0°C;50°C;23.75;255
23.70;26.80°C;26.33°C;26.00°C;27.1°C;50°C;23.67;255
24.00;26.80°C;26.41°C;26.00°C;27.2°C;50°C;23.59;255
24.30;26.80°C;26.49°C;26.25°C;27.2°C;50°C;23.51;255
24.60;27.10°C;26.57°C;26.25°C;27.4°C;50°C;23.43;255
24.90;27.10°C;26.65°C;25.75°C;27.4°C;50°C;23.35;255
25.20;27.10°C;26.74°C;26.50°C;27.5°C;50°C;23.26;255
25.50;27.10°C;26.80°C;26.00°C;27.6°C;50°C;23.20;255
25.80;27.50°C;26.90°C;26.50°C;27.7°C;50°C;23.10;255
26.10;27.50°C;27.00°C;26.75°C;27.7°C;50°C;23.00;255
26.40;27.50°C;27.10°C;26.75°C;27.9°C;50°C;22.90;255
26.70;27.50°C;27.16°C;26.50°C;28.0°C;50°C;22.84;255
27.00;27.80°C;27.25°C;26.25°C;28.1°C;50°C;22.75;255
27.30;27.80°C;27.35°C;27.00°C;28.1°C;50°C;22.65;255
27.60;27.80°C;27.44°C;26.75°C;28.2°C;50°C;22.56;255
27.90;27.80°C;27.50°C;26.75°C;28.3°C;50°C;22.50;255
28.20;28.20°C;27.60°C;26.75°C;28.4°C;50°C;22.40;255
28.50;28.20°C;27.70°C;26.75°C;28.5°C;50°C;22.30;255
28.80;28.20°C;27.80°C;26.75°C;28.6°C;50°C;22.20;255
29.10;28.20°C;27.86°C;27.25°C;28.6°C;50°C;22.14;255
29.40;28.50°C;27.95°C;27.00°C;28.7°C;50°C;22.05;255
29.70;28.50°C;28.05°C;27.00°C;28.8°C;50°C;21.95;255
30.00;28.50°C;28.14°C;27.25°C;28.9°C;50°C;21.86;255
30.30;28.50°C;28.20°C;26.75°C;29.0°C;50°C;21.80;255
30.60;28.90°C;28.30°C;27.25°C;29.1°C;50°C;21.70;255
30.90;28.90°C;28.40°C;27.25°C;29.1°C;50°C;21.60;255
31.20;28.90°C;28.50°C;27.50°C;29.2°C;50°C;21.50;255
31.50;28.90°C;28.56°C;27.00°C;29.3°C;50°C;21.44;255
31.80;29.20°C;28.65°C;27.25°C;29.4°C;50°C;21.35;255
32.10;29.20°C;28.75°C;27.00°C;29.5°C;50°C;21.25;255
32.40;29.20°C;28.84°C;27.75°C;29.6°C;50°C;21.16;255
32.70;29.20°C;28.90°C;27.50°C;29.6°C;50°C;21.10;255
33.00;29.60°C;29.00°C;27.25°C;29.7°C;50°C;21.00;255
33.30;29.60°C;29.10°C;27.75°C;29.8°C;50°C;20.90;255
33.60;29.60°C;29.20°C;27.50°C;29.9°C;50°C;20.80;255
33.90;29.60°C;29.26°C;28.25°C;30.0°C;50°C;20.74;255
34.20;29.90°C;29.35°C;27.50°C;30.0°C;50°C;20.65;255
34.50;29.90°C;29.45°C;28.00°C;30.1°C;50°C;20.55;255
